name1,name1Lower,name2,name3,name4,name5,imgPresent,img,recipeAccess,recipeCount,soilTempMinF,soilTempMaxF,spaceMinIn,spaceMaxIn,harvestMinWks,harvestMaxWks,compat1,compat2,compat3,compat4,compat5,compat6,compat7,compat8,compat9,compat10,compat11,compat12,compat13,compat14,avoidInstructions,culinaryHints,culinaryPreservation,url
Amaranth,amaranth,Love-lies-bleeding,,,,1,amaranth.png,1,15,64,86,20,,7,8,onion,corn,bell pepper,eggplant,tomato,chilli pepper,,,,,,,,,,Both leaves and seeds can be used. Excessive intake is not recommended.,,http://gardenate.com/plant/Amaranth
Angelica,angelica,,,,,1,angelica.png,1,2,50,77,18,,,78,Mint,lemon balm,,,,,,,,,,,,,,The stems can be candied and used to decorate cakes and pastries. Pick the stems in the second year.,,http://gardenate.com/plant/Angelica
Artichoke,artichoke,,,,,1,artichoke.png,1,115,59,64,63,79,42,57,,,,,,,,,,,,,,,,"Pick buds before scales develop brown tips. If you have lots of small buds, they can be fried in olive oil and eaten whole. Rinse in plenty of cold water to remove earwigs or other insects.",,http://gardenate.com/plant/Artichokes%2BGlobe
Asparagus,asparagus,,,,,1,asparagus.png,1,168,61,86,8,16,24,36,Parsley,Basil,nasturtium,Lettuce,,,,,,,,,,,"Garlic, onion, and root vegetables","Steaming is traditional, then coating with melted butter or hollandaise sauce. Alternatively break in short lengths, and cook quickly in hot oil in a wok and sprinkle with soy sauce or balsamic vinegar. NOTE: The asparagus berries are poisonous. Only the young shoots are edible.",,http://gardenate.com/plant/Asparagus
Asparagus Pea,asparagus_pea,Winged bean,,,,0,,0,0,59,68,8,10,8,11,,,,,,,,,,,,,,,,Cook quickly by steaming and serve with just a touch of butter and they are said to taste like their namesake .,,http://gardenate.com/plant/Asparagus%2BPea
Basil,basil,,,,,1,basil.png,1,846,64,95,8,10,10,12,Tomato,,,,,,,,,,,,,,,"Basil is commonly used fresh in cooked recipes. It is generally added at the last moment, as cooking quickly destroys the flavour. Tear rather than chop. The fresh herb can be kept for a short time in plastic bags in the refrigerator, or for a longer period in the freezer, after being blanched quickly in boiling water.",,http://gardenate.com/plant/Basil
Beet,beet,Beetroot,,,,1,beet.png,1,208,45,77,8,12,7,10,onion,chard,Lettuce,Cabbage,Dwarf bean,Dill,pea,strawberry,,,,,,,"Asparagus, carrot, Sweetcorn, Spinach"," from boiling whole for salads, beet roast well, cut in wedges. They also make a tasty salad grated raw with carrot and a little fresh orange juice.",,http://gardenate.com/plant/beet
Borage,borage,Burrage,Bugloss,,,0,,0,1,50,77,8,,8,10,Strawberry,tomato,zucchini,squash,,,,,,,,,,,,Has a slight cucumber taste which goes well in salads and when cooked with silver beet or cabbage. The flower make a pretty drink decoration when frozen in an iceblock.,,http://gardenate.com/plant/Borage
Fava bean,fava_bean,Broad bean,,,,0,,0,40,43,75,6,10,12,22,Dill,potato,,,,,,,,,,,,,,The fresh bean are eaten steamed or boiled. As the bean mature it is better to remove their tough outer skins after cooking. The leafy top shoots of the adult plants can be picked and steamed after flowering. Small bean can be eaten whole in the pods.,Will freeze well. Remove from pods and blanch.,http://gardenate.com/plant/bean%2B-%2Bbroad%2Bbean%2C%2Bfava%2Bbean
Broccoli,broccoli,,,,,0,,0,184,45,75,14,20,10,16,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,oregano,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard","The stem peeled, leaves, and flowerhead are all edible. Steam for best flavour. Peel large stalks, slice and steam. Goes well with blue cheese sauce.",,http://gardenate.com/plant/Broccoli
Brussels sprout,brussels_sprout,,,,,0,,0,84,45,86,18,24,14,28,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard",Remove any discoloured outer leaves. Cut in half and steam with other vegetables. Do not overcook as that produces the distinctive smell that puts people off eating Brussels sprouts! They go well with a chopped tomato and onion mix.Traditionally served with roasted chestnuts for Xmas dinner in UK.,,http://gardenate.com/plant/Brussels%2Bsprouts
Burdock,burdock,Gobo Japanese Burdock,,,,0,,0,1,50,68,24,,17,18,,,,,,,,,,,,,,,,"the first year when the burdock root is very crisp and has a sweet, mild, and pungent flavour with a little muddy harshness that can be reduced by soaking julienne/shredded roots in water for five to ten minutes. Immature flower stalks may also be harvested in late spring, before flower appear; the taste resembles that of artichoke, to which the burdock is related. It is a key ingredient in the traditional Dandelion and Burdock beer.",,http://gardenate.com/plant/Burdock
Cabbage,cabbage,,,,,1,cabbage.png,1,280,41,64,20,30,11,15,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,thyme,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard, parsnip","Young spring cabbage can be chopped and added to salad greens. Steaming preserves the goodness and flavour of cabbage. Can also be used in stir-fry. Red cabbage chopped and cooked with brown sugar, red wine, onion, vinegar and stock is served with boiled bacon or pork.",,http://gardenate.com/plant/Cabbage
Cape Gooseberry,cape_gooseberry,Golden Berry,Inca Berry,,,0,,0,0,50,77,20,,14,16,,,,,,,,,,,,,,,,"The berry is the size of a cherry tomato, is very aromatic and full of tiny seeds. They are delicious eaten fresh or can be made into jam. They can be added to salads, desserts and cooked dishes, they are delicious stewed with other fruit, especially apples. They also go well in savoury dishes with meat or seafood.",Can be preserved dried.,http://gardenate.com/plant/Cape%2BGooseberry
Bell pepper,bell_pepper,Capsicum,Sweet pepper,,,0,,0,601,64,95,8,20,10,12,eggplant,nasturtium,Basil,Parsley,Amaranth,,,,,,,,,,,"Can be sliced and seeded and used raw in salads. Or brush with olive oil, roast at a high temperature until the skin changes colour then put in a covered dish until cool and rub off the skin and remove seeds.",Will freeze successfully without blanching if seeded and sliced.,http://gardenate.com/plant/Capsicum
Cardoon,cardoon,,,,,0,,0,1,55,77,20,59,34,35,,,,,,,,,,,,,,,,"Cut off the base and leaves, then cut the stalks into pieces. Boil the stalks for around 20 minutes until tender: drain, and peel off the surface of the stalks. Add precooked cardoons to a variety of dishes, they go well with mushrooms.",,http://gardenate.com/plant/Cardoon
Carrot,carrot,,,,,0,,1,924,46,86,2,12,12,18,onion,leek,Lettuce,Sage,pea,radish,tomato,bean,Celery,Rosemary,,,,,"Parsnips, beet, Dill, brassica, Fennel",Steamed or raw carrot are tasty. Cook them in a small amount of water until nearly dry then add a pat of butter and teasp of brown sugar to glaze. They can be added to most casserole-type dishes. Grate raw carrot and add to salads,,http://gardenate.com/plant/Carrot
Cauliflower,cauliflower,,,,,1,cauliflower.png,1,148,50,86,24,39,15,22,Dwarf bush bean,beet,celery,cucumber,onion,marigold,nasturtium,rhubarb,sage,dill,chamomile,,,,"Climbing pole bean, tomato, pepper chilli, capsicum, eggplant , strawberry, mustard",Cauliflower can be steamed. Young ones can be broken into small pieces and added raw to salad. Cook briefly and add to curry mix. Traditionally served with cheese sauce. Add tomato slices for colour.,,http://gardenate.com/plant/Cauliflower
Celeriac,celeriac,,,,,0,,0,27,46,70,18,31,14,28,bean,brassica,carrot,leek,lettuce,pea,sage,tomato,onion,,,,,,,"Cook whole, scrubbed and peeled. Or slice or dice.Tastes like celery.",,http://gardenate.com/plant/Celeriac
